"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Normalizing source code vocabulary to support program comprehension and software quality","L. Guerrouj","DGIGL - SOCCER Lab, Ptidej Team, Polytechnique Montr&#x00E9;al, Qu&#x00E9;bec, Canada","2013 35th International Conference on Software Engineering (ICSE)","","2013","","","1385","1388","The literature reports that source code lexicon plays a paramount role in program comprehension, especially when software documentation is scarce, outdated or simply not available. In source code, a significant proportion of vocabulary can be either acronyms and-or abbreviations or concatenation of terms that can not be identified using consistent mechanisms such as naming conventions. It is, therefore, essential to disambiguate concepts conveyed by identifiers to support program comprehension and reap the full benefit of Information Retrieval-based techniques (e.g., feature location and traceability) whose linguistic information (i.e., source code identifiers and comments) used across all software artifacts (e.g., requirements, design, change requests, tests, and source code) must be consistent. To this aim, we propose source code vocabulary normalization approaches that exploit contextual information to align the vocabulary found in the source code with that found in other software artifacts. We were inspired in the choice of context levels by prior works and by our findings. Normalization consists of two tasks: splitting and expansion of source code identifiers. We also investigate the effect of source code vocabulary normalization approaches on software maintenance tasks. Results of our evaluation show that our contextual-aware techniques are accurate and efficient in terms of computation time than state of the art alternatives. In addition, our findings reveal that feature location techniques can benefit from vocabulary normalization when no dynamic information is available.","0270-5257;1558-1225","978-1-4673-3076-3978-1-4673-3073","10.1109/ICSE.2013.6606723","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6606723","Source code linguistic analysis;information retrieval;program comprehension;software quality","Context;Vocabulary;Software quality;Software maintenance;Dictionaries","reverse engineering;software maintenance;software quality;system documentation;ubiquitous computing;vocabulary","software quality;source code lexicon;program comprehension;software documentation;information retrieval-based techniques;linguistic information;source code comments;software artifacts;source code vocabulary normalization approaches;contextual information;context levels;source code identifiers splitting;source code identifiers expansion;software maintenance tasks;contextual-aware techniques;feature location","","5","","26","","","","","IEEE","IEEE Conferences"
"The Role of Method Chains and Comments in Software Readability and Comprehension—An Experiment","J. Börstler; B. Paech","Department of Software Engineering, Blekinge Institute of Technology, Karlskrona, Sweden; Department of Computer Science, Heidelberg University, Heidelberg, Germany","IEEE Transactions on Software Engineering","","2016","42","9","886","898","Software readability and comprehension are important factors in software maintenance. There is a large body of research on software measurement, but the actual factors that make software easier to read or easier to comprehend are not well understood. In the present study, we investigate the role of method chains and code comments in software readability and comprehension. Our analysis comprises data from 104 students with varying programming experience. Readability and comprehension were measured by perceived readability, reading time and performance on a simple cloze test. Regarding perceived readability, our results show statistically significant differences between comment variants, but not between method chain variants. Regarding comprehension, there are no significant differences between method chain or comment variants. Student groups with low and high experience, respectively, show significant differences in perceived readability and performance on the cloze tests. Our results do not show any significant relationships between perceived readability and the other measures taken in the present study. Perceived readability might therefore be insufficient as the sole measure of software readability or comprehension. We also did not find any statistically significant relationships between size and perceived readability, reading time and comprehension.","0098-5589;1939-3520;2326-3881","","10.1109/TSE.2016.2527791","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7404062","Software readability;software comprehension;software measurement;comments;method chains;experiment","Software;Guidelines;Software measurement;Software engineering;Programming;Complexity theory;Object oriented modeling","software maintenance;software metrics","software readability;software comprehension;software maintenance;software measurement;method chains;code comments;cloze tests","","3","","57","","","","","IEEE","IEEE Journals & Magazines"
"Automatically Assessing Code Understandability","S. Scalabrino; G. Bavota; C. Vendome; M. Linares-V?squez; D. Poshyvanyk; R. Oliveto","Biosciences and Territory, Universita degli Studi del Molise, 18960 Pesche, IS Italy (e-mail: simone.scalabrino@unimol.it); Faculty of Informatics, Universita della Svizzera Italiana, 27216 Lugano, Lugano Switzerland 6904 (e-mail: gabriele.bavota@usi.ch); Computer Science and Software Engineering, Miami University, 6403 Oxford, Ohio United States (e-mail: cgvendome@email.wm.edu); Systems Engineering and Computing, Universidad de los Andes, 27991 Bogota, Bogota Colombia (e-mail: m.linaresv@uniandes.edu.co); Computer Science Department, College of William and Mary, 8604 Williamsburg, Virginia United States (e-mail: denys@cs.wm.edu); Biosciences and Territory, Universita degli Studi del Molise, 18960 Pesche, IS Italy (e-mail: rocco.oliveto@unimol.it)","IEEE Transactions on Software Engineering","","2019","PP","99","1","1","Understanding software is an inherent requirement for many maintenance and evolution tasks. Without a thorough understanding of the code, developers would not be able to fix bugs or add new features timely. Measuring code understandability might be useful to guide developers in writing better code, and could also help in estimating the effort required to modify code components. Unfortunately, there are no metrics designed to assess the understandability of code snippets. In this work, we perform an extensive evaluation of 121 existing as well as new code-related, documentation-related, and developer-related metrics. We try to (i) correlate each metric with understandability and (ii) build models combining metrics to assess understandability. To do this, we use 444 human evaluations from 63 developers and we obtained a bold negative result: none of the 121 experimented metrics is able to capture code understandability, not even the ones assumed to assess quality attributes apparently related, such as code readability and complexity. While we observed some improvements while combining metrics in models, their effectiveness is still far from making them suitable for practical applications. Finally, we conducted interviews with five professional developers to understand the factors that influence their ability to understand code snippets, aiming at identifying possible new metrics.","0098-5589;1939-3520;2326-3881","","10.1109/TSE.2019.2901468","Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8651396","Software metrics;Code understandability;Empirical study;Negative result","Complexity theory;Software;Computer bugs;Readability metrics;Software measurement;Indexes","","","","","","","","","","","IEEE","IEEE Early Access Articles"
"Supporting program comprehension with program summarization","Y. Liu; X. Sun; X. Liu; Y. Li","School of Information Engineering, Yangzhou University, China; School of Information Engineering, Yangzhou University, China; School of Information Engineering, Yangzhou University, China; School of Information Engineering, Yangzhou University, China","2014 IEEE/ACIS 13th International Conference on Computer and Information Science (ICIS)","","2014","","","363","368","A large amount of software maintenance effort is spent on program comprehension. How to accurately and quickly get the functional features in a program becomes a hot issue in program comprehension. Some studies in this area are focused on extracting the topics by analyzing linguistic information in the source code based on the textual mining techniques. However, the extracted topics are usually composed of some standalone words and difficult to understand. In this paper, we attempt to solve this problem based on a novel program summarization technique. First, we propose to use latent semantic indexing and clustering to group source artifacts with similar vocabulary to analyze the composition of each package in the program. Then, some topics composed of a vector of independent words can be extracted based on latent semantic indexing. Finally, we employ Minipar, a nature language parser, to help generate the summaries. The summaries can effectively organize the words from the topics in the form of the predefined sentence based on some rules. With such form of summaries, developers can understand what the features the program has and their corresponding source artifacts.","","978-1-4799-4860","10.1109/ICIS.2014.6912159","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6912159","","Pragmatics;Semantics;Large scale integration;Matrix decomposition;Indexing;Software systems","data mining;grammars;indexing;pattern clustering;software maintenance;source code (software);text analysis;vocabulary","program comprehension;software maintenance effort;functional features;topic extraction;linguistic information analysis;source code;textual mining techniques;program summarization technique;latent semantic indexing;program summarization technique;latent semantic clustering;source artifacts;independent word vector extraction;Minipar;language parser","","2","","20","","","","","IEEE","IEEE Conferences"
"Using wolfram software to improve reading comprehension in mathematics for software engineering students","L. R. Barba-Guaman; P. A. Quezada-Sarmiento; C. A. Calderon-Cordova; A. M. Sarmiento-Ochoa; L. Enciso; T. S. Luna-Briceno; L. E. Conde-Zhingre","Universidad Técnica Particular de Loja, Departamento de Ciencias de la Computación y Electrónica, Loja- Ecuador; Universidad Internacional del Ecuador, Escuela de Informática y Multimedia - Ingeniería en Tecnologías de la Información y Comunicación, Quito- Ecuador; Universidad Técnica Particular de Loja, Departamento de Ciencias de la Computación y Electrónica, Loja- Ecuador; Universidad Nacional de Loja, Facultad de la Educación, el Arte y la Comunicación, Loja- Ecuador; Universidad Técnica Particular de Loja, Departamento de Ciencias de la Computación y Electrónica, Loja- Ecuador; Universidad Internacional del Ecuador, Escuela de Derecho, Quito - Ecuador; Universidad Internacional del Ecuador, Escuela de Informática y Multimedia - Ingeniería en Tecnologías de la Información y Comunicación, Quito- Ecuador","2018 13th Iberian Conference on Information Systems and Technologies (CISTI)","","2018","","","1","4","The higher education through virtual environment is students centered oriented to the interactive learning, in situations to be closer to the real world; for that reason, teachers must have new communicative competence. students centered oriented to the interactive learning, in situations to be closer to the real world. This paper shows the use of Wolfram software as a supplementary educational resource in the process of reading comprehension in mathematics, in the first, and third semester of Information and Computer System Engineering as part of process of formation of future engineering. Mathematics is a fundamental subject in the normative process of educating the future professionals. For example, this can be applied by using the technology, and software by Wolfram. Students from experimental groups used together with the teacher the software Wolfram Mathematica. The experience in this research by teacher shows the necessity of include this math package as supplementary educational resource, which support the capacity of calculus, and interpretation of the non-trivial problems.","","978-989-98434-8-6978-1-5386-4885","10.23919/CISTI.2018.8399388","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8399388","Education;Mathematics;Mathematica wolfram software","Software;Tungsten;Calculus;Training;Tools","computer aided instruction;computer science education;educational courses;further education;mathematics computing;software engineering;symbol manipulation","Wolfram software;mathematics;software engineering students;higher education;virtual environment;interactive learning;communicative competence;supplementary educational resource;Computer System Engineering;normative process;software Wolfram Mathematica","","1","","30","","","","","IEEE","IEEE Conferences"
"Applying cognitive load theory to generate effective programming tutorials","K. J. Harms","Department of Computer Science &amp; Engineering, Washington University in St. Louis, St. Louis, Missouri, United States","2013 IEEE Symposium on Visual Languages and Human Centric Computing","","2013","","","179","180","In this paper, the author describe our prior work on how automatically generating walk-through tutorials helps novice programmers learn new programming concepts found in unfamiliar code. Following this, the author introduce his proposal to use Cognitive Load Theory to improve the effectiveness of learning new programming concepts from generated tutorials. To accomplish this, the author propose automatically generating personalized tutorials based on a user's programming expertise.","1943-6092;1943-6106","978-1-4799-0369","10.1109/VLHCC.2013.6645274","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6645274","","Tutorials;Programming profession;Current measurement;Load modeling;Educational institutions;Programming environments","cognition;computer science education;programming","cognitive load theory;programming tutorials;walk-through tutorial generation;programming concepts learning","","2","","10","","","","","IEEE","IEEE Conferences"
"qLow complexity LDPC coded IB-DFE for multilevel modulations and coded OFDM: comparison and complexity trade-offs","P. Montezuma; D. Marques; R. Dinis","DEE, FCT Universidade Nova de Lisboa, Portugal; DEE, FCT Universidade Nova de Lisboa, Portugal; DEE, FCT Universidade Nova de Lisboa, Portugal","2014 International Conference on Telecommunications and Multimedia (TEMU)","","2014","","","179","184","In this paper, we propose IB-DFE receiver (Iterative Block Decision Feedback Equalization) with iterative SISO LDPC decoding (soft-input soft-output - Low Density Parity Code) suitable for SC-FDE (Single- Carrier with Frequency-Domain Equalization) with multilevel modulations. This scheme can be implemented in a simple way using an analytical characterization where the any multilevel constellation is represented as a sum of BPSK (Bi-Phase Shift Keying) sub-constellations. This decomposition also allows energy efficient amplification compatible with grossly nonlinear amplifiers where BPSK component is amplified independently. The proposed system is compared with LDPC-coded OFDM (Orthogonal Frequency Division Multiplexing) with similar complexity. It is shown that the proposed system allows significant improvements on error performance without significant increase on decoding process' complexity. The simulation results show that the iterative equalization together with the iterative decoding of LDPC improves the performance significantly when compared with uncoded schemes, even for small block sizes. In addition, the proposed coded IB-DFE scheme outperforms coded OFDM and has similar performance to uncoded IB-DFE even for lower number of iterations in the iterative equalization process, which can contribute for reductions in the computational load at the receiver's side.","","978-1-4799-3200","10.1109/TEMU.2014.6917757","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6917757","Multilevel constellation;SC-FDE with offset modulations;LDPC decoding;coded OFDM;computational load","OFDM;Receivers;Decoding;Iterative decoding;Transmitters;Phase shift keying","decision feedback equalisers;iterative decoding;OFDM modulation;parity check codes;phase shift keying","multilevel modulations;coded OFDM;IB DFE receiver;iterative block decision feedback equalization;iterative SISO LDPC decoding;soft input soft output low density parity code;SC FDE;single carrier with frequency domain equalization;BPSK;biphase shift keying;energy efficient amplification;orthogonal frequency division multiplexing","","","","12","","","","","IEEE","IEEE Conferences"
"Polar Codes for Low-Complexity Forward Error Correction in Optical Access Networks","Z. Wu; B. Lankl","NA; NA","Photonic Networks; 15. ITG Symposium","","2014","","","1","8","Optical communication systems operating at high data rates require forward error correction (FEC) to achieve reliable communication at improved power efficiency. However, telecommunications equipment in optical access networks can only accommodate restricted hardware complexity. In this contribution we study Polar codes, a recently proposed class of error-correcting codes with advantageous properties in terms of their structure, complexity and design method. We investigate if Polar codes can compete with existing ITU G.975.1 standard FEC schemes and identify the challenges which need to be tackled when implementing hardware decoders.","","978-3-8007-3604","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6839983","","","","","","","","","","","","","VDE","VDE Conferences"
"On planning an evaluation of the impact of identifier names on the readability and quality of smalltalk programs","M. Lungu; J. Kurš","Software Composition Group University of Bern Switzerland; Software Composition Group University of Bern Switzerland","2013 2nd International Workshop on User Evaluations for Software Engineering Researchers (USER)","","2013","","","13","15","One of the long running debates between programmers is whether camelCaseldentifiers are better than underscore_identifiers. This is ultimately a matter of programming language culture and personal taste, and to our best knowledge none of the camps has won the argument yet. It is our intuition that a solution exists which is superior to both the previous ones from the point of view of usability: the solution we name sentence case identifiers allows phrases as nams for program entities such as classes or methods. In this paper we propose a study in which to evaluate the impact of sentence case identifiers in practice.","","978-1-4673-6433","10.1109/USER.2013.6603079","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6603079","user evaluation;programming languages;empirical software engineering","Computer languages;Syntactics;Programming;Grammar;Conferences;Planning;Software","object-oriented programming;planning (artificial intelligence);Smalltalk","planning;identifier names;readability;smalltalk programs;camelCaseldentifiers;underscore_identifiers;programming language","","1","","4","","","","","IEEE","IEEE Conferences"
"Constructing a Novel Chinese Readability Classification Model Using Principal Component Analysis and Genetic Programming","Y. Lee; H. Tseng; J. Chen; C. Peng; T. Chang; Y. Sung","NA; NA; NA; NA; NA; NA","2012 IEEE 12th International Conference on Advanced Learning Technologies","","2012","","","164","166","The studies of readability aim to measure the level of text difficulty. Although traditional formulae such as the Flesch-Kincaid formula can properly predict text readability, they are only effective for English text. Other formulae with very few features may result in inaccurate text classification. The study takes into account multiple linguistic features, and attempts to increase the level of accuracy in text classification by adopting a new model which integrates Principal Component Analysis (PCA) with Genetic Programming (GP). Empirical data are utilized to demonstrate the performance of the proposed model.","2161-3761;2161-377X","978-1-4673-1642-2978-0-7695-4702","10.1109/ICALT.2012.134","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6268065","Readability;Principal component analysis;Genetic programming;Text analysis component","Predictive models;Principal component analysis;Mathematical model;Educational institutions;Genetic programming;Psychology;Support vector machines","genetic algorithms;natural language processing;pattern classification;principal component analysis;text analysis","novel Chinese readability classification model;principal component analysis;genetic programming;Flesch-Kincaid formula;text readability;English text;multiple linguistic features;text classification;GP;PCA","","3","","17","","","","","IEEE","IEEE Conferences"
"Reordering Program Statements for Improving Readability","Y. Sasaki; Y. Higo; S. Kusumoto","NA; NA; NA","2013 17th European Conference on Software Maintenance and Reengineering","","2013","","","361","364","In order to understand source code, humans sometimes execute the program in their mind. When they illustrate the program execution in their mind, it is necessary to memorize what values all the variables are along with the execution. If there are many variables in the program, it is hard to their memorization. However, it is possible to ease to memorize them by shortening the distance between the definition of a variable and its reference if they are separated in the source code. This paper proposes a technique reordering statements in a module by considering how far the definition of a variable is from its references. We applied the proposed technique to a Java OSS and collected human evaluations for the reordered methods. As a result, we could confirm that the reordered methods had better readability than their originals. Moreover, we obtained some knowledge of human consideration about the order of statements.","1534-5351","978-0-7695-4948-4978-1-4673-5833","10.1109/CSMR.2013.50","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6498489","source code readability;source code analysis;software tool;arranging program statements","Java;Correlation;Software maintenance;Educational institutions;Software metrics;Europe","Java;public domain software;software maintenance","program statement reordering;program execution;program memorization;Java OSS;open-source software;software maintainance;source code readability","","2","","7","","","","","IEEE","IEEE Conferences"
"Proposal of multi-value cell structure for high-density two-dimensional codes and evaluation of readability using smartphones","N. Teraura; K. Sakurai","Terrara Code Research Institute, Tokai, Japan; Information Science and Electrical Engineering, Kyushu University, Fukuoka, Japan","2015 7th International Conference on New Technologies, Mobility and Security (NTMS)","","2015","","","1","5","In the now-popular two-dimensional code, bits are expressed using white and two black colors in the cell, which forms the element. However, such codes do not have confidentiality. Since confidentiality may be needed according to the use, a large-capacity and high-density two-dimensional code with compatibility and confidentiality can be realized by adding a secrecy part in addition to the existing part. To enlarge capacity, it is necessary to form a cell using many bits, which requires a multicolor method. The read verification of the compatible area and the additional area was carried out using a smartphone, and the code was verified to confirm its practicality.","2157-4952;2157-4960","978-1-4799-8784-9978-1-4799-8783","10.1109/NTMS.2015.7266514","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7266514","2d code;compatibility;confidentiality;identity;security;smartphone","Image color analysis;Smart phones;Software;Proposals;Image coding;Brightness","codes;smart phones","high-density two-dimensional code;multicolor method;smartphones;high density 2D codes;multivalue cell structure","","1","","13","","","","","IEEE","IEEE Conferences"
